Designator,Footprint,Quantity,Value,LCSC Part #
A1,Arduino_Nano,1,Arduino_Nano_v3.x,
"C1, C10, C11, C12, C13, C14, C18, C26, C34, C42, C50, C58, C66, C74, C9",0805,15,100n,C28233
"C15, C19, C20, C23, C27, C28, C31, C35, C36, C39, C43, C44, C47, C51, C52, C55, C59, C60, C63, C67, C68, C71, C75, C76, C79, C81, C83",1206,27,10u,C13585
"C16, C17, C24, C25, C32, C33, C40, C41, C48, C49, C56, C57, C64, C65, C72, C73",0805,16,220n,C5378
"C2, C80, C82, C84",0402,4,10p,C32949
"C21, C29, C37, C45, C53, C61, C69, C77",CP_Elec_10x10,8,100u,C371283
"C22, C3, C30, C38, C4, C46, C54, C62, C70, C78",0603,10,1u,C15849
"C5, C6",0603,2,470p,C1620
"C7, C8",0805,2,150n,C408124
"D1, D11, D13, D15, D17, D19, D21, D7, D9",0805,9,RED,C84256
"D10, D12, D14, D16, D18, D20, D22, D3, D8",0805,9,GREEN,C2297
D2,0805,1,YELLOW,C2296
"D23, D24, D25, D5, D6",D_SMA,5,SS34,C8678
D4,0603,1,BLUE,C72041
G1,maxlogo,1,LOGO,
"H1, H2, H3, H4, H5, H6, H7, H8",MountingHole_4.3mm_M4,8,MountingHole,
"J1, J12, J14, J15, J17, J19, J2, J4, J5, J7, J8","TerminalBlock_Phoenix_PT-1,5-6-5.0-H_1x06_P5.00mm_Horizontal",11,Conn_01x06,C192771
"J10, J11, J13, J20","TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal",4,Conn_01x03,C8270
"J16, J18, J3, J6","TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",4,Conn_01x02,C8269
"J21, J22",DOT,2,Conn_01x15,C2897378
J9,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02,
"JP1, JP2, JP3, JP4, JP5, JP6",PinHeader_1x02_P2.54mm_Vertical,6,JUMP,C5116481
"JP10, JP11, JP12, JP7, JP8, JP9",DOT,6,Jumper_2_Bridged,C5305
"L1, L2, L3, L4, L5, L6, L7, L8",L_Cenker_CKST0603,8,15uH 4A,C3002650
"L10, L11, L9",L_SMMS1360,3,100uH,C149534
Q1,TO-263-2,1,LNE08R085,C483709
"R1, R65, R70, R75",2512,4,0.005R,C5121085
"R10, R11, R16, R4, R5, R9",0805,6,220R,C17557
"R12, R13",0805,2,120k,C17436
"R14, R15",0805,2,200k,C17539
"R17, R18, R21",0805,3,10k,C17414
R19,0805,1,150k,C17470
"R2, R3, R66, R71, R76",0805,5,4.7k,C17673
"R20, R22",0805,2,30k,C17621
"R23, R27, R32, R36, R39, R42, R45",0805,7,47k 1%,C17713
R24,0805,1,8.87k 1%,C37551
"R25, R28, R30, R33, R35, R38, R41, R44",0805,8,100k 1%,C149504
"R26, R29, R31",0805,3,9.09k 1%,C408923
R34,0805,1,24.9k 1%,C234872
"R37, R40, R43, R46",0805,4,4.3k,C204496
"R47, R49, R51, R53, R55, R57, R59, R61",0805,8,470R,C17710
"R48, R50, R52, R54, R56, R58, R60, R62",0805,8,560R,C28636
"R6, R7",0805,2,1k,C17513
"R63, R68, R73",2512,3,0.15R,C2924565
"R64, R69, R74",2512,3,0.3R,C2912677
"R67, R72, R77, R8",0805,4,13k,C217812
RV1,Potentiometer_Bourns_3296W_Vertical,1,5M,C780121
"RV2, RV3, RV4, RV5",Potentiometer_Bourns_3296W_Vertical,4,47k 10-turn,C83686
SW1,C3900BAAAA,1,C3900BAAAA,C4949944
"U1, U20, U22, U24",SOT-23-5,4,ZXCT1110,C78482
"U10, U5, U6, U7, U8, U9",SOT-353_SC-70-5,6,74LVC1G04,C8207
"U11, U12, U13, U14, U15, U16, U17, U18",Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias,8,LMR33630ADDA,C841384
"U19, U21, U23",TSOT-23-5,3,AL8861WT-7,C581338
"U2, U3",HTSSOP-14-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3x3.1mm_ThermalVias,2,DRV104,C1556572
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,MCP6002-xSN,C7377
