Designator,Mid X,Mid Y,Rotation,Layer
A1,50.0,-9.5,90.0,top
C1,79.55,2.75,180.0,top
C10,85.69,-18.9,0.0,top
C11,24.09,-74.1,180.0,top
C12,86.74,-55.9,0.0,top
C13,23.69,-110.85,180.0,top
C14,86.49,-93.15,0.0,top
C15,22.5,-33.475,90.0,top
C16,25.5,-34.0,90.0,top
C17,37.375,-33.2,270.0,top
C18,22.15,-23.175,90.0,top
C19,22.15,-28.1,270.0,top
C2,61.04,13.02,270.0,top
C20,25.15,-28.125,270.0,top
C21,29.15,-17.125,90.0,top
C22,37.65,-36.625,270.0,top
C23,87.14,-22.775,270.0,top
C24,84.14,-22.25,270.0,top
C25,72.265,-23.049999,90.0,top
C26,87.489999,-33.075,270.0,top
C27,87.49,-28.15,90.0,top
C28,84.489999,-28.125,90.0,top
C29,80.489999,-39.125,270.0,top
C3,29.265,-119.25,0.0,top
C30,71.99,-19.625,90.0,top
C31,22.5,-70.475,90.0,top
C32,25.5,-71.0,90.0,top
C33,37.375,-70.2,270.0,top
C34,22.15,-60.175,90.0,top
C35,22.15,-65.1,270.0,top
C36,25.15,-65.125,270.0,top
C37,29.15,-54.125,90.0,top
C38,37.65,-73.625,270.0,top
C39,87.54,-59.775,270.0,top
C4,29.265,-138.25,0.0,top
C40,84.54,-59.25,270.0,top
C41,72.665,-60.05,90.0,top
C42,87.29,-70.075,270.0,top
C43,87.89,-65.15,90.0,top
C44,84.89,-65.125,90.0,top
C45,80.89,-76.125,270.0,top
C46,72.39,-56.625,90.0,top
C47,22.665,-107.225,90.0,top
C48,25.665,-107.75,90.0,top
C49,37.54,-106.95,270.0,top
C5,25.265,-129.25,180.0,top
C50,22.315,-96.925,90.0,top
C51,22.315,-101.85,270.0,top
C52,25.315,-101.875,270.0,top
C53,29.315,-90.875,90.0,top
C54,37.815,-110.375,270.0,top
C55,87.68,-96.775,270.0,top
C56,84.68,-96.25,270.0,top
C57,72.805,-97.05,90.0,top
C58,88.03,-107.075,270.0,top
C59,88.03,-102.15,90.0,top
C6,25.265,-148.25,180.0,top
C60,85.03,-102.125,90.0,top
C61,81.03,-113.125,270.0,top
C62,72.53,-93.625,90.0,top
C63,47.59625,-68.475,90.0,top
C64,50.59625,-69.0,90.0,top
C65,62.47125,-68.2,270.0,top
C66,47.24625,-58.175,90.0,top
C67,47.24625,-63.1,270.0,top
C68,50.24625,-63.125,270.0,top
C69,54.24625,-52.125,90.0,top
C7,23.515,-132.1625,270.0,top
C70,62.74625,-71.625,270.0,top
C71,47.54,-35.725,90.0,top
C72,50.54,-36.25,90.0,top
C73,62.415,-35.45,270.0,top
C74,47.19,-25.425,90.0,top
C75,47.19,-30.35,270.0,top
C76,50.19,-30.375,270.0,top
C77,54.19,-19.375,90.0,top
C78,62.69,-38.875,270.0,top
C79,45.815,-109.75,0.0,top
C8,23.515,-151.25,270.0,top
C80,49.74,-128.0725,90.0,top
C81,54.215,-109.75,0.0,top
C82,58.14,-128.0725,90.0,top
C83,62.615,-109.75,0.0,top
C84,66.54,-128.0725,90.0,top
C9,23.89,-37.1,180.0,top
D1,100.4125,1.25,180.0,top
D10,100.04,-12.25,270.0,top
D11,12.04,-81.0,270.0,top
D12,10.04,-81.0,90.0,top
D13,98.04,-47.25,90.0,top
D14,100.04,-47.25,270.0,top
D15,12.04,-113.8125,270.0,top
D16,10.04,-113.8125,90.0,top
D17,98.04,-82.25,90.0,top
D18,100.04,-82.25,270.0,top
D19,51.04,-75.15,0.0,top
D2,100.4125,-2.166666,180.0,top
D20,51.04,-77.15,180.0,top
D21,51.04,-42.0,0.0,top
D22,51.04,-44.0,180.0,top
D23,44.44,-122.265,90.0,top
D24,52.84,-122.265,90.0,top
D25,61.24,-122.265,90.0,top
D3,98.04,-127.0,90.0,top
D4,100.4125,-5.583334,180.0,top
D5,29.315,-124.25,270.0,top
D6,29.265,-143.25,270.0,top
D7,12.04,-43.8125,270.0,top
D8,10.04,-43.8125,90.0,top
D9,98.04,-12.25,90.0,top
G1,86.54,-167.5,0.0,top
J1,109.79,-113.0,90.0,top
J10,109.79,-23.0,90.0,top
J11,0.29,-103.0,270.0,top
J12,109.79,-153.0,90.0,top
J13,109.79,8.25,90.0,top
J14,0.29,-118.0,270.0,top
J15,87.54,39.75,180.0,top
J16,0.29,-148.0,270.0,top
J17,57.54,39.75,180.0,top
J18,27.54,39.75,180.0,top
J19,35.39,-174.12,0.0,top
J2,0.29,-13.0,270.0,top
J20,65.39,-174.12,0.0,top
J21,67.79,5.75,0.0,top
J22,67.79,-9.5,90.0,top
J3,0.29,18.25,270.0,top
J4,109.79,-83.0,90.0,top
J5,0.29,-43.0,270.0,top
J6,0.29,2.75,270.0,top
J7,109.79,-53.0,90.0,top
J8,0.29,-73.0,270.0,top
J9,68.54,15.275,0.0,top
JP1,48.74,-105.55,180.0,top
JP10,61.54,-104.275,0.0,top
JP11,65.54,-104.275,0.0,top
JP12,44.74,-104.275,0.0,top
JP2,44.74,-105.55,180.0,top
JP3,57.14,-105.55,180.0,top
JP4,53.14,-105.55,180.0,top
JP5,65.54,-105.55,180.0,top
JP6,61.54,-105.55,180.0,top
JP7,48.74,-104.275,0.0,top
JP8,53.14,-104.275,0.0,top
JP9,57.14,-104.275,0.0,top
L1,31.65,-28.15,180.0,top
L10,55.19,-146.85,270.0,top
L11,71.04,-146.85,270.0,top
L2,77.99,-28.1,0.0,top
L3,31.65,-65.15,180.0,top
L4,78.39,-65.1,0.0,top
L5,31.815,-101.9,180.0,top
L6,78.53,-102.1,0.0,top
L7,56.74625,-63.15,180.0,top
L8,56.69,-30.4,180.0,top
L9,39.34,-146.85,270.0,top
Q1,27.64,-2.6,180.0,top
R1,57.665,19.84,180.0,top
R10,80.5,-6.0,270.0,top
R11,68.0,-6.0,270.0,top
R12,21.265,-132.1625,270.0,top
R13,21.265,-151.25,270.0,top
R14,25.765,-132.1625,270.0,top
R15,25.765,-151.25,270.0,top
R16,62.5,-6.0,270.0,top
R17,90.79,-143.0,90.0,top
R18,60.8775,1.25,180.0,top
R19,81.5275,-124.425,180.0,top
R2,61.49,15.9025,90.0,top
R20,78.44,-129.925,90.0,top
R21,89.44,-129.8875,90.0,top
R22,78.44,-125.925,90.0,top
R23,89.5,-1.25,0.0,top
R24,89.5,-3.25,180.0,top
R25,34.25,-40.5,90.0,top
R26,37.1625,-39.5875,0.0,top
R27,21.04,-39.1625,90.0,top
R28,59.29,-75.5,90.0,top
R29,62.29,-74.5,0.0,top
R3,60.0,-6.0,270.0,top
R30,75.25,-15.75,270.0,top
R31,72.5,-16.75,180.0,top
R32,88.54,-16.2125,270.0,top
R33,59.54,-42.75,90.0,top
R34,62.54,-41.75,0.0,top
R35,29.2025,-79.0,0.0,top
R36,21.34,-76.7625,90.0,top
R37,40.04,-74.3375,90.0,top
R38,83.54,-50.75,180.0,top
R39,89.44,-53.15,270.0,top
R4,76.08,17.833334,180.0,top
R40,69.79,-54.5,0.0,top
R41,27.79,-115.75,0.0,top
R42,20.99,-113.6,90.0,top
R43,42.29,-111.5,90.0,top
R44,83.4525,-87.75,180.0,top
R45,89.24,-90.4,270.0,top
R46,69.79,-92.25,270.0,top
R47,21.8525,-43.0,0.0,top
R48,18.415,-43.0,180.0,top
R49,86.54,-13.0,0.0,top
R5,76.08,14.416668,180.0,top
R50,90.04,-13.0,0.0,top
R51,22.6525,-80.4,0.0,top
R52,19.24,-80.35,180.0,top
R53,86.74,-48.4,0.0,top
R54,83.34,-48.4,180.0,top
R55,18.6525,-116.6,180.0,top
R56,22.2275,-116.6,0.0,top
R57,85.79,-85.5,0.0,top
R58,89.29,-85.5,0.0,top
R59,51.2025,-71.9,180.0,top
R6,84.44,-123.8375,270.0,top
R60,47.79,-71.9,180.0,top
R61,50.7025,-39.5,180.0,top
R62,47.29,-39.5,180.0,top
R63,48.84,-96.95,270.0,top
R64,44.64,-96.95,270.0,top
R65,48.64,-121.7025,90.0,top
R66,47.94,-128.865,90.0,top
R67,48.54,-136.3525,0.0,top
R68,57.24,-96.95,270.0,top
R69,53.04,-96.95,270.0,top
R7,76.08,11.0,180.0,top
R70,57.04,-121.7025,90.0,top
R71,56.34,-128.865,90.0,top
R72,56.94,-136.3525,0.0,top
R73,65.64,-96.95,270.0,top
R74,61.44,-96.95,270.0,top
R75,65.44,-121.7025,90.0,top
R76,64.74,-128.865,90.0,top
R77,65.34,-136.3525,0.0,top
R8,57.04,10.5875,90.0,top
R9,65.25,-6.0,270.0,top
RV1,87.04,-137.65,0.0,top
RV2,38.87,-79.25,0.0,top
RV3,71.79,-50.75,180.0,top
RV4,38.58,-115.75,0.0,top
RV5,71.96,-87.75,180.0,top
SW1,34.69,14.5,0.0,top
U1,58.115,14.4,0.0,top
U10,86.49,-90.65,180.0,top
U11,31.65,-35.65,0.0,top
U12,77.99,-20.6,180.0,top
U13,31.65,-72.65,0.0,top
U14,78.39,-57.6,180.0,top
U15,31.815,-109.4,0.0,top
U16,78.53,-94.6,180.0,top
U17,56.74625,-70.65,0.0,top
U18,56.69,-37.9,0.0,top
U19,47.74,-115.2625,90.0,top
U2,23.265,-122.25,90.0,top
U20,48.59,-132.99,90.0,top
U21,56.14,-114.215,90.0,top
U22,56.99,-132.99,90.0,top
U23,64.54,-114.215,90.0,top
U24,65.39,-132.99,90.0,top
U3,23.265,-141.25,90.0,top
U4,83.94,-128.925,180.0,top
U5,23.84,-39.6,0.0,top
U6,85.74,-16.4,180.0,top
U7,24.09,-76.6,0.0,top
U8,86.74,-53.4,180.0,top
U9,23.74,-113.35,0.0,top
