Ref,Val,Package,PosX,PosY,Rot,Side
"A1","Arduino_Nano_v3.x","Arduino_Nano",50.000000,-9.500000,90.000000,top
"C1","100n","C_0805_2012Metric",79.550000,2.750000,180.000000,top
"C2","150n","C_0805_2012Metric",40.300000,-146.250000,0.000000,top
"C3","1u","C_0805_2012Metric",27.387500,-140.500000,90.000000,top
"C4","470p","C_0603_1608Metric",37.387500,-144.500000,-90.000000,top
"C5","150n","C_0805_2012Metric",59.387500,-146.250000,0.000000,top
"C6","1u","C_0805_2012Metric",46.387500,-140.500000,90.000000,top
"C7","470p","C_0603_1608Metric",56.387500,-144.500000,-90.000000,top
"C8","150n","C_0805_2012Metric",78.387500,-146.250000,0.000000,top
"C9","1u","C_0805_2012Metric",65.387500,-140.500000,90.000000,top
"C10","470p","C_0603_1608Metric",75.387500,-144.500000,-90.000000,top
"C11","220u","CP_Elec_10x10",33.550000,-46.475000,-90.000000,top
"C12","220u","CP_Elec_10x10",46.500000,-20.000000,90.000000,top
"C13","220u","CP_Elec_10x10",33.050000,-18.750000,180.000000,top
"C14","220u","CP_Elec_10x10",76.000000,-18.750000,90.000000,top
"C15","220u","CP_Elec_10x10",62.000000,-45.750000,-90.000000,top
"C16","220u","CP_Elec_10x10",77.000000,-46.750000,0.000000,top
"C17","220u","CP_Elec_10x10",30.000000,-88.275000,-90.000000,top
"C18","220u","CP_Elec_10x10",48.000000,-61.275000,90.000000,top
"C19","220u","CP_Elec_10x10",33.000000,-60.275000,180.000000,top
"C20","220u","CP_Elec_10x10",77.000000,-59.500000,90.000000,top
"C21","220u","CP_Elec_10x10",61.500000,-89.275000,-90.000000,top
"C22","220u","CP_Elec_10x10",79.000000,-89.275000,0.000000,top
"C23","220u","CP_Elec_10x10",30.000000,-130.275000,-90.000000,top
"C24","220u","CP_Elec_10x10",48.000000,-103.275000,90.000000,top
"C25","220u","CP_Elec_10x10",33.000000,-102.275000,180.000000,top
"C26","220u","CP_Elec_10x10",77.000000,-103.275000,90.000000,top
"C27","220u","CP_Elec_10x10",61.500000,-131.500000,-90.000000,top
"C28","220u","CP_Elec_10x10",81.000000,-129.000000,0.000000,top
"C29","220u","CP_Elec_10x10",24.750000,9.000000,0.000000,top
"C30","100n","C_0805_2012Metric",25.950000,1.500000,0.000000,top
"C31","220u","CP_Elec_10x10",38.250000,8.250000,180.000000,top
"C32","10u","C_1206_3216Metric",54.000000,13.000000,-90.000000,top
"C33","10u","C_1206_3216Metric",54.000000,18.000000,90.000000,top
"D1","GREEN","LED_0805_2012Metric",75.602500,19.916666,0.000000,top
"D2","RED","LED_0805_2012Metric",75.562500,16.500000,180.000000,top
"D3","YELLOW","LED_0805_2012Metric",75.562500,13.083334,180.000000,top
"D4","GREEN","LED_0805_2012Metric",100.937500,-132.000000,0.000000,top
"D5","BLUE","LED_0603_1608Metric",75.562500,9.666666,180.000000,top
"D6","SS34","D_SMA",32.387500,-140.450000,0.000000,top
"D7","SS34","D_SMA",51.387500,-140.500000,0.000000,top
"D8","SS34","D_SMA",70.387500,-140.500000,0.000000,top
"D9","SS34","D_SMA",47.000000,-50.250000,0.000000,top
"D10","SS34","D_SMA",65.500000,-15.250000,180.000000,top
"D11","SS34","D_SMA",40.000000,-89.275000,-90.000000,top
"D12","SS34","D_SMA",62.750000,-56.250000,180.000000,top
"D13","SS34","D_SMA",40.000000,-133.275000,-90.000000,top
"D14","SS34","D_SMA",63.000000,-99.275000,180.000000,top
"D15","SS34","D_SMA",27.950000,-8.000000,180.000000,top
"F1","10A","Fuse_Littelfuse-LVR100",22.550000,18.250000,0.000000,top
"G***","LOGO","maxlogo",100.500000,1.000000,0.000000,top
"J1","24V","TerminalBlock_Phoenix_PT-1,5-4-5.0-H_1x04_P5.00mm_Horizontal",31.000000,34.500000,180.000000,top
"J2","RAIL1","TerminalBlock_Phoenix_PT-1,5-6-5.0-H_1x06_P5.00mm_Horizontal",5.640000,-13.000000,-90.000000,top
"J3","RAIL2","TerminalBlock_Phoenix_PT-1,5-7-5.0-H_1x07_P5.00mm_Horizontal",104.500000,-43.000000,90.000000,top
"J4","RAIL3","TerminalBlock_Phoenix_PT-1,5-7-5.0-H_1x07_P5.00mm_Horizontal",5.640000,-47.500000,-90.000000,top
"J5","RAIL4","TerminalBlock_Phoenix_PT-1,5-7-5.0-H_1x07_P5.00mm_Horizontal",104.500000,-80.000000,90.000000,top
"J6","RAIL5","TerminalBlock_Phoenix_PT-1,5-7-5.0-H_1x07_P5.00mm_Horizontal",5.640000,-87.000000,-90.000000,top
"J7","RAIL6","TerminalBlock_Phoenix_PT-1,5-7-5.0-H_1x07_P5.00mm_Horizontal",104.500000,-117.000000,90.000000,top
"J8","PHOTODIODE_PWR","TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal",5.500000,19.250000,-90.000000,top
"J10","TEMP_SENSOR","TerminalBlock_Phoenix_PT-1,5-3-5.0-H_1x03_P5.00mm_Horizontal",104.500000,9.250000,90.000000,top
"J12","GPIO","TerminalBlock_Phoenix_PT-1,5-12-5.0-H_1x12_P5.00mm_Horizontal",93.500000,34.500000,180.000000,top
"J13","TTL INVERTERS","TerminalBlock_Phoenix_PT-1,5-6-5.0-H_1x06_P5.00mm_Horizontal",5.500000,-139.500000,-90.000000,top
"J14","PHOTOSENSOR","TerminalBlock_Phoenix_PT-1,5-6-5.0-H_1x06_P5.00mm_Horizontal",104.500000,-164.500000,90.000000,top
"J15","VALVES","TerminalBlock_Phoenix_PT-1,5-12-5.0-H_1x12_P5.00mm_Horizontal",28.500000,-164.000000,0.000000,top
"L1","33uH 5A","PowerInductor_1004S",47.000000,-40.750000,90.000000,top
"L2","3.3uH 5A","L_Sunlord_MWSA0518_5.4x5.2mm",46.000000,-30.525000,90.000000,top
"L3","33uH 5A","PowerInductor_1004S",62.000000,-24.750000,-90.000000,top
"L4","3.3uH 5A","L_Sunlord_MWSA0518_5.4x5.2mm",63.000000,-34.750000,-90.000000,top
"L5","33uH 5A","PowerInductor_1004S",49.500000,-83.275000,90.000000,top
"L6","3.3uH 5A","L_Sunlord_MWSA0518_5.4x5.2mm",47.000000,-72.275000,90.000000,top
"L7","33uH 5A","PowerInductor_1004S",62.750000,-65.400000,-90.000000,top
"L8","3.3uH 5A","L_Sunlord_MWSA0518_5.4x5.2mm",62.250000,-77.275000,-90.000000,top
"L9","33uH 5A","PowerInductor_1004S",50.000000,-127.375000,90.000000,top
"L10","3.3uH 5A","L_Sunlord_MWSA0518_5.4x5.2mm",47.000000,-115.275000,90.000000,top
"L11","33uH 5A","PowerInductor_1004S",63.000000,-109.275000,-90.000000,top
"L12","3.3uH 5A","L_Sunlord_MWSA0518_5.4x5.2mm",62.500000,-120.000000,-90.000000,top
"L13","33uH 5A","PowerInductor_1004S",38.500000,-4.000000,0.000000,top
"Q1","VBE1410","TO-252-3_TabPin2",44.000000,17.912500,180.000000,top
"R1","4.7k","R_0805_2012Metric",60.000000,-6.000000,-90.000000,top
"R2","220R","R_0805_2012Metric",68.000000,-6.000000,-90.000000,top
"R3","220R","R_0805_2012Metric",80.500000,-6.000000,-90.000000,top
"R4","220R","R_0805_2012Metric",65.250000,-6.000000,-90.000000,top
"R5","220R","R_0805_2012Metric",72.040000,19.916666,0.000000,top
"R6","220R","R_0805_2012Metric",72.040000,16.500000,180.000000,top
"R7","220R","R_0805_2012Metric",72.040000,13.083334,180.000000,top
"R8","1K","R_0805_2012Metric",100.962500,-129.500000,180.000000,top
"R9","1K","R_0805_2012Metric",72.040000,9.666666,180.000000,top
"R10","120k","R_0805_2012Metric",40.300000,-148.500000,0.000000,top
"R11","200k","R_0805_2012Metric",40.300000,-144.000000,0.000000,top
"R12","120k","R_0805_2012Metric",59.387500,-148.500000,0.000000,top
"R13","200k","R_0805_2012Metric",59.387500,-144.000000,0.000000,top
"R14","120k","R_0805_2012Metric",78.387500,-148.500000,0.000000,top
"R15","200k","R_0805_2012Metric",78.387500,-144.000000,0.000000,top
"R16","220R","R_0805_2012Metric",62.500000,-6.000000,-90.000000,top
"R17","10K","R_0805_2012Metric",94.912500,-134.500000,0.000000,top
"R18","30k","R_0805_2012Metric",94.875000,-123.500000,0.000000,top
"R19","30k","R_0805_2012Metric",98.875000,-123.500000,0.000000,top
"R20","150k","R_0805_2012Metric",100.375000,-126.587500,90.000000,top
"R21","8.87k 1%","R_0805_2012Metric",39.050000,-28.975000,90.000000,top
"R22","47k 1%","R_0805_2012Metric",51.000000,-32.250000,-90.000000,top
"R23","1k 1%","R_0805_2012Metric",39.050000,-32.887500,-90.000000,top
"R24","8.87k 1%","R_0805_2012Metric",51.000000,-28.750000,-90.000000,top
"R25","8.87k 1%","R_0805_2012Metric",71.000000,-32.912500,90.000000,top
"R26","47k 1%","R_0805_2012Metric",58.750000,-33.125000,90.000000,top
"R27","1k 1%","R_0805_2012Metric",71.000000,-36.750000,-90.000000,top
"R28","8.87k 1%","R_0805_2012Metric",58.750000,-36.625000,90.000000,top
"R29","47k 1%","R_0805_2012Metric",52.000000,-74.187500,-90.000000,top
"R30","2k","R_0805_2012Metric",39.000000,-71.275000,90.000000,top
"R31","8.87k 1%","R_0805_2012Metric",52.000000,-70.275000,-90.000000,top
"R32","47k 1%","R_0805_2012Metric",58.000000,-75.275000,90.000000,top
"R33","2k","R_0805_2012Metric",71.000000,-69.275000,90.000000,top
"R34","8.87k 1%","R_0805_2012Metric",58.000000,-79.275000,90.000000,top
"R35","47k 1%","R_0805_2012Metric",52.000000,-117.275000,-90.000000,top
"R36","2k","R_0805_2012Metric",39.000000,-115.187500,90.000000,top
"R37","8.87k 1%","R_0805_2012Metric",52.000000,-113.275000,-90.000000,top
"R38","47k 1%","R_0805_2012Metric",58.250000,-118.000000,90.000000,top
"R39","2k","R_0805_2012Metric",71.000000,-114.275000,90.000000,top
"R40","8.87k 1%","R_0805_2012Metric",58.250000,-122.000000,90.000000,top
"R41","8.87k 1%","R_0805_2012Metric",25.806250,-2.250000,180.000000,top
"R42","47k 1%","R_0805_2012Metric",89.500000,-1.250000,0.000000,top
"R43","1k 1%","R_0805_2012Metric",29.806250,-2.250000,0.000000,top
"R44","8.87k 1%","R_0805_2012Metric",89.500000,-3.250000,180.000000,top
"R45","47k","R_0805_2012Metric",29.950000,1.500000,0.000000,top
"RV1","10M","Potentiometer_Bourns_3296W_Vertical",87.000000,-141.900000,90.000000,top
"RV2","47k 10-turn","Potentiometer_Bourns_3296W_Vertical",40.000000,-76.460000,90.000000,top
"RV3","47k 10-turn","Potentiometer_Bourns_3296W_Vertical",70.000000,-76.450000,90.000000,top
"RV4","47k 10-turn","Potentiometer_Bourns_3296W_Vertical",40.000000,-121.450000,90.000000,top
"RV5","47k 10-turn","Potentiometer_Bourns_3296W_Vertical",70.500000,-121.450000,90.000000,top
"U1","DRV104","HTSSOP-14-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3x3.1mm_ThermalVias",30.387500,-146.500000,180.000000,top
"U2","DRV104","HTSSOP-14-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3x3.1mm_ThermalVias",49.387500,-146.500000,180.000000,top
"U3","DRV104","HTSSOP-14-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask3x3.1mm_ThermalVias",68.387500,-146.500000,180.000000,top
"U4","74HC14","SOIC-14_3.9x8.7mm_P1.27mm",11.000000,-128.000000,0.000000,top
"U5","MCP6002-xSN","SOIC-8_3.9x4.9mm_P1.27mm",95.875000,-129.000000,90.000000,top
"U6","LM2596S-ADJ","TO-263-5_TabPin3",27.950000,-32.750000,180.000000,top
"U7","LM2596S-ADJ","TO-263-5_TabPin3",82.000000,-32.750000,0.000000,top
"U8","LM2596S-ADJ","TO-263-5_TabPin3",27.950000,-73.275000,180.000000,top
"U9","LM2596S-ADJ","TO-263-5_TabPin3",82.000000,-73.250000,0.000000,top
"U10","LM2596S-ADJ","TO-263-5_TabPin3",28.000000,-116.275000,180.000000,top
"U11","LM2596S-ADJ","TO-263-5_TabPin3",82.050000,-116.275000,0.000000,top
"U12","LM2596S-ADJ","TO-263-5_TabPin3",13.950000,-3.000000,180.000000,top
"U13","AMS1117-5.0","SOT-223-3_TabPin2",61.000000,16.500000,0.000000,top
